mach,altitude_m,altitude_ft,adp_bpr,adp_thrust_kN,adp_core_kN,adp_bypass_kN,adp_isp_s,adp_fuel_kgs,adp_m_core,adp_m_bypass,fix_bpr,fix_thrust_kN,fix_core_kN,fix_bypass_kN,fix_isp_s,fix_fuel_kgs,delta_thrust_kN,delta_isp_s,delta_fuel_kgs,delta_bpr
0.0,0.0,0.0,0.15,28.6253,26.7261,1.8992,3355.67,0.86957,43.4783,6.5217,0.3,27.0025,23.6423,3.3601,3578.31,0.76923,1.6229,-222.64,0.10033,-0.15
0.075,0.0,0.0,0.15,28.6301,26.7299,1.9003,3356.23,0.86957,43.4783,6.5217,0.3,27.0077,23.6457,3.362,3579.0,0.76923,1.6225,-222.76,0.10033,-0.15
0.15,0.0,0.0,0.15,28.6446,26.7411,1.9035,3357.93,0.86957,43.4783,6.5217,0.3,27.0233,23.6556,3.3677,3581.07,0.76923,1.6213,-223.14,0.10033,-0.15
0.225,0.0,0.0,0.15,28.6686,26.7598,1.9088,3360.75,0.86957,43.4783,6.5217,0.3,27.0492,23.6722,3.3771,3584.51,0.76923,1.6194,-223.76,0.10033,-0.15
0.3,0.0,0.0,0.15,28.7022,26.786,1.9162,3364.69,0.86957,43.4783,6.5217,0.3,27.0856,23.6953,3.3902,3589.32,0.76923,1.6167,-224.63,0.10033,-0.15
0.375,0.0,0.0,0.15,28.7454,26.8197,1.9257,3369.74,0.86957,43.4783,6.5217,0.3,27.1321,23.7251,3.407,3595.49,0.76923,1.6133,-225.75,0.10033,-0.15
0.45,0.0,0.0,0.245,27.7339,24.8111,2.9228,3519.74,0.80321,40.1606,9.8394,0.3,27.1889,23.7614,3.4275,3603.01,0.76923,0.545,-83.27,0.03398,-0.055
0.525,0.0,0.0,0.3875,26.4801,22.3031,4.177,3745.27,0.72072,36.036,13.964,0.3,27.2557,23.8042,3.4515,3611.87,0.76923,-0.7756,133.4,-0.04851,0.0875
0.6,0.0,0.0,0.53,25.49,20.2677,5.2223,3975.51,0.65359,32.6797,17.3203,0.3,27.3326,23.8536,3.479,3622.05,0.76923,-1.8426,353.45,-0.11564,0.23
0.675,0.0,0.0,0.6725,24.6999,18.5843,6.1156,4211.07,0.59791,29.8954,20.1046,0.3,27.4193,23.9094,3.5099,3633.54,0.76923,-2.7194,577.53,-0.17132,0.3725
0.75,0.0,0.0,0.815,24.0659,17.1697,6.8962,4452.56,0.55096,27.5482,22.4518,0.3,27.5157,23.9716,3.5441,3646.32,0.76923,-3.4498,806.24,-0.21827,0.515
0.825,0.0,0.0,0.9575,23.5568,15.9654,7.5915,4700.56,0.51086,25.5428,24.4572,0.3,27.6217,24.0402,3.5815,3660.36,0.76923,-4.0648,1040.2,-0.25838,0.6575
0.9,0.0,0.0,1.1,23.1499,14.9284,8.2215,4955.63,0.47619,23.8095,26.1905,0.3,27.7371,24.115,3.6221,3675.66,0.76923,-4.5872,1279.97,-0.29304,0.8
0.975,0.0,0.0,1.0375,23.5264,15.438,8.0884,4886.35,0.4908,24.5399,25.4601,0.3,27.8618,24.1962,3.6656,3692.19,0.76923,-4.3354,1194.17,-0.27843,0.7375
1.05,0.0,0.0,0.975,23.9252,15.984,7.9411,4816.74,0.50633,25.3165,24.6835,0.3,27.9956,24.2835,3.7121,3709.92,0.76923,-4.0704,1106.83,-0.2629,0.675
1.125,0.0,0.0,0.9125,24.3468,16.5699,7.7769,4746.51,0.52288,26.1438,23.8562,0.3,28.1383,24.3769,3.7614,3728.83,0.76923,-3.7915,1017.68,-0.24635,0.6125
1.2,0.0,0.0,0.85,24.7921,17.1996,7.5924,4675.36,0.54054,27.027,22.973,0.3,28.2898,24.4764,3.8134,3748.9,0.76923,-3.4977,926.46,-0.22869,0.55
1.275,0.0,0.0,0.7875,25.262,17.8777,7.3843,4603.04,0.55944,27.972,22.028,0.3,28.4498,24.5818,3.868,3770.1,0.76923,-3.1878,832.93,-0.20979,0.4875
1.35,0.0,0.0,0.725,25.7578,18.6093,7.1485,4529.28,0.57971,28.9855,21.0145,0.3,28.6182,24.6932,3.925,3792.42,0.76923,-2.8604,736.86,-0.18952,0.425
1.425,0.0,0.0,0.6625,26.2809,19.4006,6.8804,4453.83,0.6015,30.0752,19.9248,0.3,28.7948,24.8103,3.9844,3815.82,0.76923,-2.5138,638.01,-0.16773,0.3625
1.5,0.0,0.0,0.6,26.8332,20.2583,6.5749,4376.46,0.625,31.25,18.75,0.3,28.9794,24.9332,4.0461,3840.28,0.76923,-2.1462,536.18,-0.14423,0.3
1.575,0.0,0.0,0.5375,27.4167,21.1905,6.2262,4296.96,0.65041,32.5203,17.4797,0.3,29.1718,25.0618,4.11,3865.78,0.76923,-1.7551,431.18,-0.11882,0.2375
1.65,0.0,0.0,0.475,28.0339,22.2066,5.8274,4215.09,0.67797,33.8983,16.1017,0.3,29.3718,25.1959,4.1759,3892.29,0.76923,-1.3379,322.8,-0.09126,0.175
1.725,0.0,0.0,0.4125,28.6881,23.3177,5.3704,4130.68,0.70796,35.3982,14.6018,0.3,29.5793,25.3355,4.2438,3919.79,0.76923,-0.8912,210.89,-0.06127,0.1125
1.8,0.0,0.0,0.35,29.3829,24.5368,4.8461,4043.51,0.74074,37.037,12.963,0.3,29.7941,25.4805,4.3135,3948.24,0.76923,-0.4112,95.27,-0.02849,0.05
0.0,631.6,2072.0,0.1551,28.502,26.5608,1.9411,3356.03,0.86573,43.2863,6.7137,0.3,26.9364,23.6003,3.3361,3569.56,0.76923,1.5655,-213.53,0.0965,-0.1449
0.075,631.6,2072.0,0.1551,28.5067,26.5645,1.9422,3356.59,0.86573,43.2863,6.7137,0.3,26.9416,23.6036,3.338,3570.24,0.76923,1.5652,-213.65,0.0965,-0.1449
0.15,631.6,2072.0,0.1551,28.5211,26.5756,1.9455,3358.27,0.86573,43.2863,6.7137,0.3,26.957,23.6134,3.3436,3572.28,0.76923,1.564,-214.01,0.0965,-0.1449
0.225,631.6,2072.0,0.1551,28.5449,26.594,1.9509,3361.08,0.86573,43.2863,6.7137,0.3,26.9827,23.6298,3.3529,3575.69,0.76923,1.5622,-214.61,0.0965,-0.1449
0.3,631.6,2072.0,0.1551,28.5782,26.6197,1.9585,3365.01,0.86573,43.2863,6.7137,0.3,27.0186,23.6526,3.366,3580.45,0.76923,1.5596,-215.44,0.0965,-0.1449
0.375,631.6,2072.0,0.1551,28.621,26.6528,1.9682,3370.04,0.86573,43.2863,6.7137,0.3,27.0647,23.682,3.3827,3586.56,0.76923,1.5563,-216.51,0.0965,-0.1449
0.45,631.6,2072.0,0.2501,27.6148,24.6646,2.9502,3518.99,0.79994,39.9968,10.0032,0.3,27.1209,23.7179,3.403,3594.0,0.76923,0.494,-75.01,0.03071,-0.0499
0.525,631.6,2072.0,0.3926,26.3666,22.1803,4.1864,3742.93,0.71808,35.9041,14.0959,0.3,27.187,23.7602,3.4268,3602.76,0.76923,-0.8204,140.17,-0.05115,0.0926
0.6,631.6,2072.0,0.5351,25.38,20.1626,5.2174,3971.55,0.65142,32.5712,17.4288,0.3,27.263,23.8089,3.4541,3612.84,0.76923,-1.883,358.71,-0.11781,0.2351
0.675,631.6,2072.0,0.6776,24.592,18.4926,6.0993,4205.45,0.59609,29.8045,20.1955,0.3,27.3488,23.864,3.4848,3624.21,0.76923,-2.7568,581.25,-0.17314,0.3776
